schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_7ad6952d-966b-408e-a1f6-cb29fbe71f05,Wilhelmsgymnasium München,Thierschstr. 46,80538,München,,,Gymnasien,,,,,,48.138259,11.588593,"Thierschstr. 46, 80538 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_a25b412f-e50b-44bf-be6e-65fa8be6a989,Wittelsbacher-Gymnasium München,Marsplatz 1,80335,München,,,Gymnasien,,,,,,48.145789,11.548327,"Marsplatz 1, 80335 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_9e2ca571-d8f5-4d72-a37a-63c4c31ce46b,Albert-Einstein-Gymnasium München,Lautererstr. 2,81545,München,,,Gymnasien,,,,,,48.094945,11.560743,"Lautererstr. 2, 81545 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEREALSCHULEN_5d572203-e801-4329-ab9f-8bbd0a55896e,Marieluise-Fleißer-Realschule Staatl. Realschule München III,Schwanthalerstr. 87,80336,München,,,Realschulen,,,,,,48.137125,11.553031,"Schwanthalerstr. 87, 80336 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_595f0725-e84b-464d-a890-08c71562072f,Oskar-von-Miller-Gymnasium München,Ungererstr. 191,80805,München,,,Gymnasien,,,,,,48.180378,11.604112,"Ungererstr. 191, 80805 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_310319b1-7423-426d-a0a3-51b0681edf3e,Asam-Gymnasium München,Schlierseestr. 20,81539,München,,,Gymnasien,,,,,,48.114351,11.591399,"Schlierseestr. 20, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_26efe204-3c4f-4c7b-89c5-d104e8280e67,Erasmus-Grasser-Gymnasium München,Fürstenrieder Str. 159,81377,München,,,Gymnasien,,,,,,48.122978,11.503452,"Fürstenrieder Str. 159, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_0073b9c0-48c4-4c00-a995-d2d5ad0d45b8,Gisela-Gymnasium München,Arcisstr. 65,80801,München,,,Gymnasien,,,,,,48.156645,11.573317,"Arcisstr. 65, 80801 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEREALSCHULEN_dfc50391-1c25-45fe-918d-81d0b6b3074b,Georg-Büchner-Realschule Staatliche Realschule München I,Droste-Hülshoff-Str. 5,80686,München,,,Realschulen,,,,,,48.127564,11.509409,"Droste-Hülshoff-Str. 5, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_ae72d070-a765-4c4f-bd79-61e3f462bc34,Luitpold-Gymnasium München,Seeaustr. 1,80538,München,,,Gymnasien,,,,,,48.144489,11.592888,"Seeaustr. 1, 80538 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_9af8d356-55cb-43dc-b77e-35ef8a0f0bed,Klenze-Gymnasium München,Wackersberger Str. 59,81371,München,,,Gymnasien,,,,,,48.115637,11.542252,"Wackersberger Str. 59, 81371 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_7fcb1ac0-c4d4-4306-a80b-1e654e282f2c,Maria-Theresia-Gymnasium München,Regerplatz 1,81541,München,,,Gymnasien,,,,,,48.124284,11.58852,"Regerplatz 1, 81541 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_8d964f40-272f-47aa-a1ef-e4420ea3934f,Max-Planck-Gymnasium München,Weinbergerstr. 29,81241,München,,,Gymnasien,,,,,,48.140009,11.468776,"Weinbergerstr. 29, 81241 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_79492b36-b83c-4fa4-89d8-285be4f98e78,Rupprecht-Gymnasium München,Albrechtstr. 7,80636,München,,,Gymnasien,,,,,,48.151458,11.544163,"Albrechtstr. 7, 80636 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_45eff82c-d299-4740-832a-b13944a2202f,Pestalozzi-Gymnasium München,Eduard-Schmid-Str. 1,81541,München,,,Gymnasien,,,,,,48.127589,11.582382,"Eduard-Schmid-Str. 1, 81541 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_3ca9f87f-48c6-4253-b32d-59c23194efdd,Max-Josef-Stift München,Mühlbaurstr. 15,81677,München,,,Gymnasien,,,,,,48.141748,11.610071,"Mühlbaurstr. 15, 81677 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_98c3861e-69fc-4c91-920d-ee0a2e3a5ace,Michaeli-Gymnasium München,Hachinger-Bach-Str. 25,81671,München,,,Gymnasien,,,,,,48.120618,11.638729,"Hachinger-Bach-Str. 25, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b294e9b4-f0c9-4202-aa3b-79355b6dbc08,"Mittelschule München, Elisabeth-Kohn-Straße 4",Elisabeth-Kohn-Str. 4,80797,München,,,Mittelschulen,,,,,,48.164434,11.553619,"Elisabeth-Kohn-Str. 4, 80797 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEREALSCHULEN_d24ba9f5-6d6b-45cb-9a41-58c0085eb717,Joseph-von-Fraunhofer-Schule Staatl. Realschule München II,Engadiner Str. 1,81475,München,,,Realschulen,,,,,,48.090193,11.481301,"Engadiner Str. 1, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_5d9b5eb3-4053-4781-a735-7cfbe6523692,Gymnasium München-Nord,Knorrstr. 171,80937,München,,,Gymnasien,,,,,,48.199586,11.572321,"Knorrstr. 171, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_3ab60e69-3d30-4d07-82d3-544a2fcd4bb2,Gymnasium München-Freiham,Hildegard-Hamm-Brücher-Str. 5,81249,München,,,Gymnasien,,,,,,48.140747,11.405242,"Hildegard-Hamm-Brücher-Str. 5, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_c0aa0aa2-c7da-421e-80bf-ee596a002f62,Dante-Gymnasium München,Wackersberger Str. 61,81371,München,,,Gymnasien,,,,,,48.115029,11.543301,"Wackersberger Str. 61, 81371 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_3f022dad-c351-45bd-8807-a4a94dc39461,Wilhelm-Hausenstein-Gymnasium München,Elektrastr. 61,81925,München,,,Gymnasien,,,,,,48.152058,11.627053,"Elektrastr. 61, 81925 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_ac819b62-69e4-41cb-a478-614ba687e4f2,Gymnasium München - Fürstenried,Engadiner Str. 1,81475,München,,,Gymnasien,,,,,,48.090193,11.481301,"Engadiner Str. 1, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_929c39d6-bfa6-48c4-8209-7739cdc503c6,Gymnasium München/Moosach,Gerastr. 6,80993,München,,,Gymnasien,,,,,,48.184956,11.519088,"Gerastr. 6, 80993 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_0c726a30-03d8-46b3-90e2-a985f3e4de11,Leonhard-Wagner-Mittelschule Schwabmünchen,Breitweg 16 a,86830,Schwabmünchen,,,Mittelschulen,,,,,,48.185299,10.765541,"Breitweg 16 a, 86830 Schwabmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_6658e87e-20ec-48d3-b98f-5f0a303bda84,"Mittelschule Kirchheim b.München, an der Heimstettner Straße",Heimstettner Str. 12,85551,Kirchheim b.München,,,Mittelschulen,,,,,,48.168438,11.756551,"Heimstettner Str. 12, 85551 Kirchheim b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b6142bd1-39ae-442e-b5de-ea714a61367d,Fritz-Schäffer-Mittelschule Ostermünchen in Tuntenhausen,Niedergartenweg 7,83104,Tuntenhausen,,,Mittelschulen,,,,,,47.948907,12.033237,"Niedergartenweg 7, 83104 Tuntenhausen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_bbdd33ca-8bde-4e19-87a1-b423e8e8c0ff,Max-Mannheimer-Mittelschule Garching b. München,St.-Severin-Str. 3,85748,Garching b. München,,,Mittelschulen,,,,,,48.248694,11.647823,"St.-Severin-Str. 3, 85748 Garching b. München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_d4693314-b56b-41af-b2d6-a5adfad77f24,Georg-Huber-Mittelschule  Grafing b.München,Am Stadion 2,85567,Grafing b.München,,,Mittelschulen,,,,,,48.049381,11.970786,"Am Stadion 2, 85567 Grafing b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEREALSCHULEN_ba9ff9dd-627e-4821-b7e9-cfd526a0f2d1,Leonhard-Wagner-Realschule Staatl. Realschule Schwabmünchen,Breitweg 16,86830,Schwabmünchen,,,Realschulen,,,,,,48.185597,10.767032,"Breitweg 16, 86830 Schwabmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEREALSCHULEN_5530fea0-9531-4e96-87bc-8c697192118c,Staatl. Realschule Waldmünchen,Dr.-Matthias-Lechner-Str. 11,93449,Waldmünchen,,,Realschulen,,,,,,49.386232,12.703806,"Dr.-Matthias-Lechner-Str. 11, 93449 Waldmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_5348ac21-5a91-41fc-a41a-d166d56fe938,Leonhard-Wagner-Gymnasium Schwabmünchen,Breitweg 16,86830,Schwabmünchen,,,Gymnasien,,,,,,48.185597,10.767032,"Breitweg 16, 86830 Schwabmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_d33bd2ef-8386-4753-8081-991bf5b8c098,Gymnasium Kirchheim b.München,Heimstettner Str. 3,85551,Kirchheim b.München,,,Gymnasien,,,,,,48.167844,11.759306,"Heimstettner Str. 3, 85551 Kirchheim b.München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_707ba492-7551-4cb6-a4d3-9f07440dad19,Schwarzachtal-Mittelschule Waldmünchen,Dr.-Matthias-Lechner-Str. 8,93449,Waldmünchen,,,Mittelschulen,,,,,,49.38539,12.70481,"Dr.-Matthias-Lechner-Str. 8, 93449 Waldmünchen","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
