schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
4381,Erasmus Frankfurter Stadtschule (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1 bis 4,Sonnemannstraße 9-11,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1100273,8.6973096,+49 69 90743640,+49 69 907436412,info@erasmus-schule.eu,http://www.erasmus-schule.eu,Private Träger,siehe Erläuterung der Trägerschaft,Staatlich genehmigte Ersatzschule,Angela Drissler-Dietzel,,350.0,15.0,08:30 bis 16:00 Uhr,,Schwerpunkt Sprachen,,,Bilingual Deutsch/Englisch,,"Englisch, Spanisch, Bilingual, Englisch, Spanisch",,,"Englisch, Spanisch, Bilingual, Englisch, Spanisch",Ganztagsangebote,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Mittagessen",,,"""EAP Elternverein am Palmengarten"", www.elternvereinampalmengarten.de",mehrsprachige Schulbücherei,Erasmus von Rotterdam,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/erasmus-frankfurter-stadtschule,erasmus-frankfurter-stadtschule,Frankfurt Schulwegweiser,2026-04-06
3155,Erich Kästner Schule,Grundschule,grundschulen,Grundschule,1-4,Praunheimer Weg 44,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1615,8.62122,+49 69 212 34515,+49 69 212 32744,poststelle.erich-kaestner-schule@stadt-frankfurt.de,http://www.eks-ffm.de,Stadt Frankfurt am Main,,,Benedikt Gehrling,Sonja Roth,442.0,18.0,siehe Erläuterung der Unterrichtszeit,,Schwerpunkt Sport,,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Arabisch, Kroatisch, Türkisch",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Arabisch, Kroatisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"Zertifikat Sucht- und Gewaltprävention, Gesundheitsprogramm Klasse2000 – Klaro-Siegel","""Förderkreis der Erich Kästner Schule e.V.""","Öffnungszeiten: In jeder 2. großen Pause. Konzept: Schülerbücherei, Klassenbücherei, Vorlesetage.","Erich Kästner (23.02.1899 - 29.07.1974), Autor vieler Kinderbücher.",,,,11.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/erich-kaestner-schule,erich-kaestner-schule,Frankfurt Schulwegweiser,2026-04-06
SW-europaeische-schule-frankfurt,Europäische Schule Frankfurt (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",,Praunheimer Weg 126,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1587669,8.6226216,+49 69 9288740,+49 69 92887474,contact@eursc.org,http://www.eursc.org,Sonstige Träger,europäische Mitgliedsstaaten,,Anastazija Avsec,,1600.0,,"Siehe ""Erläuterung zu der Unterrichtszeit""",,,,,Deutsch,"Englisch, Französisch, Deutsch","Englisch, Französisch, Deutsch, Sprachangebot",,,"Englisch, Französisch, Deutsch, Englisch, Französisch, Deutsch, Sprachangebot",,,"Ganztagsangebote, Mittagessen",,,"""Elternverein der Europäischen Schule Frankfurt am Main"", www.esfparents.org",,Europäische Mitgliedsstaaten,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/europaeische-schule-frankfurt,europaeische-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06
SW-fintosch-mehrsprachige-grundschule,Fintosch Mehrsprachige Grundschule,Grundschule,grundschulen,Grundschule,1-4,Schumannstraße 4-6,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1133881,8.6550581,,+49 69 77076912,info@fintosch.com,http://www.fintosch.com/,Private Träger,Fintosch Mehrsprachige Grundschule gGmbH,Staatlich genehmigte Ersatzschule mit angeschlossener Kindertageseinrichtung,Frank van Poucke,,,,07:45 bis 15:00 Uhr,,"Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkt Sprachen",,,Bilingual Deutsch/Englisch,"Französisch, Englisch, Bilingual, Englisch",,,,"Französisch, Englisch, Bilingual, Englisch",Ganztagsangebote,,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/fintosch-mehrsprachige-grundschule,fintosch-mehrsprachige-grundschule,Frankfurt Schulwegweiser,2026-04-06
3132,Franckeschule,Grundschule,grundschulen,Grundschule,1-4,Falkstraße 71,60487,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1248,8.64502,+49 69 212 35282,+49 69 212 34480,poststelle.franckeschule@stadt-frankfurt.de,http://francke.frankfurt.schule.hessen.de/,Stadt Frankfurt am Main,,,Sabine Ibold,,420.0,17.0,07:55 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Musik",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,Umweltschule,"""VESuF, Verein der Eltern, Schüler und Freunde""",Von der Stadtbücherei aufgebaut und organisiert. Öffnungszeiten: Jeden Vormittag von 09:30 - 09:45 Uhr sowie freitags von 11:30 - 13:00 Uhr.,August Hermann Francke (1663-1727) Pädagoge und Theologe,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/franckeschule,franckeschule,Frankfurt Schulwegweiser,2026-04-06
SW-frankfurt-international-school,Frankfurt International School (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,An der Waldlust 15,61440,Oberursel,Frankfurt am Main,Hessen,,,,+49 6171 2024480,+49 6171 2024384,tina_awtani@fis.edu,http://www.fis.edu,Private Träger,Frankfurt International School e.V.,Ergänzungsschule,Dr. Paul M. Fochtman,,1780.0,100.0,,,"Schwerpunkt Mathematik, Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkt Sprachen",,,Englisch,,Deutsch,"Französisch, Spanisch, Herkunftssprachlicher Unterricht, Kroatisch, Japanisch, Schwedisch, Niederländisch, Bilingual, Englisch",,"Deutsch, Französisch, Spanisch, Herkunftssprachlicher Unterricht, Kroatisch, Japanisch, Schwedisch, Niederländisch, Bilingual, Englisch",Ganztagsangebote,,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztägig arbeitende Schule, Ganztagsangebote, Kooperationspartner, Mittagessen, Pausenverkauf",,,"""Parent Teacher Group""",Schülerzeitung,"Die Frankfurt International School ist ein Verein, der 1961 von 4 Elternpaaren in Frankfurt gegründet wurde und nach dem Erwerb eines großen Grundstückes in Oberursel seine Heimat fand",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/frankfurt-international-school,frankfurt-international-school,Frankfurt Schulwegweiser,2026-04-06
SW-franzoesische-schule-lycee-victor-hugo,Französische internationale Schule Lycee Victor Hugo (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Gontardstraße 11,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Praunheim,50.1349768,8.6077897,+49 69 747498113,+49 69 747498142,secretariat@lfvh.net,https://www.lfvh.net/,Private Träger,Agence pour l'enseignement Francais à l'étranger (AEFE),Staatlich anerkannte Ersatzschule,Sylvain Pardo,Nathalie Daniel-Risacher,940.0,45.0,,,Schwerpunkt Sprachen,,,Deutsch,"Deutsch, Französisch","Deutsch, Englisch","Spanisch, Chinesisch","Spanisch, Chinesisch, weitere Sprachen, Weitere Sprachangebote, Latein, Chinesisch, Bilingual, Französisch, Deutsch, Überblick Sprachangebot","Deutsch, Französisch, Deutsch, Englisch, Spanisch, Chinesisch, Spanisch, Chinesisch, weitere Sprachen, Weitere Sprachangebote, Latein, Chinesisch, Bilingual, Französisch, Deutsch, Überblick Sprachangebot",,,"Besondere Leseförderung, Ganztägig arbeitende Schule, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen",,,"""Union des Parents et Amis du Lycée français Victor Hugo"", www.upea.de",Schullandheim,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/franzoesische-schule-lycee-victor-hugo,franzoesische-schule-lycee-victor-hugo,Frankfurt Schulwegweiser,2026-04-06
3170,Frauenhofschule,Grundschule,grundschulen,Grundschule,1-4,Niederräder Landstraße 60-62,60528,Frankfurt am Main,Frankfurt am Main,Hessen,Niederrad,50.0889,8.65106,+49 69 212 33059,+49 69 212 32711,poststelle.frauenhofschule@stadt-frankfurt.de,http://www.frauenhofschule.de/,Stadt Frankfurt am Main,,,Gabriele Bittner-Brancaglio,,389.0,17.0,07:50 bis 13:05 Uhr,,Schwerpunkt Musik,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Portugiesisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Portugiesisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Ganztagsangebote, Jugendhilfeangebot",,Musikalische Grundschule,,Von der Stadtbücherei aufgebaut und organisiert. Konzept: Verleih und Klassenlektüre,Benannt nach dem 200 Jahre alten Wahrzeichen Niederrads,,,,16.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/frauenhofschule,frauenhofschule,Frankfurt Schulwegweiser,2026-04-06
4260,Freie Christliche Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Realschule, Gymnasium",1-4,Orber Straße 4,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Fechenheim,50.131983,8.7568325,+49 69 4200030,+49 69 42000311,Sekretariat@fcsf.de,http://www.fcsf.de,Private Träger,Freie Christliche Schule Frankfurt e.V.,Staatlich anerkannte Ersatzschule,Mirjam Hamann,Raphael Zuccarelli,,,08:10 bis 13:15 Uhr,,Schwerpunkt Naturwissenschaften,,,Deutsch,,Englisch,"Französisch, Latein, Weitere Sprachangebote, Spanisch",,"Englisch, Französisch, Latein, Weitere Sprachangebote, Spanisch",,,"Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch",,,"""Förderverein der Freien Christlichen Schule Frankfurt am Main""",Selbstlernzentrum mit integrierter Schülerbibliothek,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freie-christliche-schule,freie-christliche-schule,Frankfurt Schulwegweiser,2026-04-06
4268,Freie Schule Frankfurt,Grundschule,grundschulen,"Grundschule, Förderstufe",1-6,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0972,8.66766,,,,,Private Träger,Verein für angewandte Sozialpädagogik e.V.,Staatlich genehmigte Ersatzschule,Teamleitung,,,,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Neue Technologien, Schwerpunkt Sprachen, Schwerpunkt Sport",,,Deutsch,Englisch,"Englisch, Weitere Sprachangebote",,,"Englisch, Englisch, Weitere Sprachangebote",,,"AGs am Nachmittag, Ganztägig arbeitende Schule",,,,Schülerzeitung,"Freie Schule Frankfurt: frei von den Zwängen der Regelschule - selbstbestimmtes Lernen und Arbeiten der Schülerinnen, Schüler und Pädagogen, freier Träger",,,Sachsenhausen: Grundschule mit Förderstufe und angeschlossener Kindertagesstätte ab 3 Jahren,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freie-schule-frankfurt,freie-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06
5118,Freie Waldorfschule,Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Friedlebenstraße 52,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.1471144,8.6752359,+49 69 953060,,mail@waldorfschule-frankfurt.de,http://www.waldorfschule-frankfurt.de,Private Träger,Freier Träger,Staatlich genehmigte Ersatzschule (Grundstufe),Caroline Meyer auf der Heyde,,825.0,2.0,,,,,,Deutsch,"Englisch, Französisch","Englisch, Französisch",,,"Englisch, Französisch, Englisch, Französisch",,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Gewaltprävention, Mittagessen",,,"""Förderverein der Freien Waldorfschule Frankfurt e.V."", mail@waldorfschule-frankfurt.de",Öffnungszeiten: Montag - Freitag 08:00 - 20:00 Uhr,"Der Name Waldorfschule hat seinen Ursprung von „Waldorf-Astoria"". Emil Molt, Inhaber der Waldorf-Astoria-Zigarettenfabik, hatte 1919 die Idee, eine Schule für die Kinder „seiner"" Arbeiter einzurichten. Er beauftragte Rudolf Steiner mit der Gründung dieser Schule. Im Zentrum der Bemühungen Steiners stand eine ganzheitliche Pädagogik, eine Pädagogik, durch die Leib, Seele und Geist gleichermaßen gefördert werden sollten.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freie-waldorfschule,freie-waldorfschule,Frankfurt Schulwegweiser,2026-04-06
3171,Freiligrathschule,Grundschule,grundschulen,Grundschule,1-4,Fachfeldstraße 32,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Fechenheim,50.1202,8.76825,+49 69 212 48888,+49 69 212 49111,poststelle.freiligrathschule@stadt-frankfurt.de,http://www.freiligrathschule-fechenheim.de,Stadt Frankfurt am Main,,,Heike Schley,Dela Krsic,485.0,20.0,siehe Erläuterung der Unterrichtszeit,,"Integrativer Unterricht, Gewaltprävention (Mediation / Konfliktschlichtung)",Schwerpunkte,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Italienisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Italienisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,"""Förderverein Freiligrathschule e.V""",Schülerzeitung,"Ferdinand Freiligrath, (1810-1876), Dichter",,,,14.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freiligrathschule,freiligrathschule,Frankfurt Schulwegweiser,2026-04-06
3172,Fridtjof-Nansen-Schule,Grundschule,grundschulen,Grundschule,1-4,Dürkheimer Straße 47,65934,Frankfurt am Main,Frankfurt am Main,Hessen,Nied,50.0983,8.57706,+49 69 212 45504,+49 69 212 42905,poststelle.fridtjof-nansen-schule@stadt-frankfurt.de,http://www.fridtjofnansenschule.de,Stadt Frankfurt am Main,,,Amelie Braun,Kai Löhner,250.0,12.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkte",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,"Umweltschule, Internet-ABC-Schule, Gesundheitsfördernde Schule, ""Klasse 2000"", Klimaschutzzertifikat ""Nutzerbedingtes Energie- und Wassersparen""","""Förderverein der Fridtjof-Nansen-Schule e.V."", Ansprechpartner: Mirnes Omerović, E-Mail: foerderverein-fns@web.de",Sozial-Pädagogische Lernhilfe (Sternpiloten),"Fridtjof Nansen (1861- 1930,) norwegischer Zoologe, Polarforscher, Philantrop und internationaler Staatsmann. Aufgrund seiner Verdienste um die internationale Flüchtlingshilfe erhielt er 1922 den Friedensnobelpreis.",,,,14.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/fridtjof-nansen-schule,fridtjof-nansen-schule,Frankfurt Schulwegweiser,2026-04-06
3169,Fried-Lübbecke-Schule,Grundschule,grundschulen,Grundschule,1-4,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Eschersheim,50.1638,8.65505,+49 69 212 38754,+49 69 212 38338,poststelle.fried-luebbecke-schule@stadt-frankfurt.de,http://www.fls-frankfurt.de,Stadt Frankfurt am Main,,,Petra Heinicke-Mathieu,,180.0,8.0,siehe Erläuterungen,,"Schwerpunkt Neue Technologien, Schwerpunkt Sport",Schwerpunkte,,Deutsch,Französisch,,,,Französisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot",,,"""Förderkreis der Fried-Lübbecke-Schule"", Kontakt: foerderkreis-fls@web.de",Schüleraustausch,"Fried Lübbecke (1883-1965), Kunsthistoriker",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/fried-luebbecke-schule,fried-luebbecke-schule,Frankfurt Schulwegweiser,2026-04-06
3133,Friedrich-Fröbel-Schule,Grundschule,grundschulen,Grundschule,1-4,Else-Alken-Straße 3,60528,Frankfurt am Main,Frankfurt am Main,Hessen,Niederrad,50.0796,8.64294,+49 69 6662736,+49 69 66163140,poststelle.friedrich-froebel-schule@stadt-frankfurt.de,http://www.ffsfrankfurt.de,Stadt Frankfurt am Main,,,Sandra Althaus,Karin Hager,535.0,15.0,08:00 bis 13:15 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote",,,,Jugendhilfeangebot,"Friedrich Fröbel, (1782-1852), Reformpädagoge",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/friedrich-froebel-schule,friedrich-froebel-schule,Frankfurt Schulwegweiser,2026-04-06
3134,Friedrich-List-Schule,Grundschule,grundschulen,Grundschule,1-4,Heusingerstraße 14,65934,Frankfurt am Main,Frankfurt am Main,Hessen,Nied,50.1073,8.58107,+49 69 212 43995,,poststelle.friedrich-list-schule@stadt-frankfurt.de,https://friedrich-list-schule-frankfurt.de/,Stadt Frankfurt am Main,,,Ingmarie Köhler,N.N.,340.0,15.0,08:00 bis 13:15 Uhr,,Gewaltprävention,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Kroatisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Kooperationspartner",,"Internet ABC-Schule, Energiesparschule","""Förderverein der Friedrich-List-Schule e.V.""",Öffnungszeiten: Während der Schulzeiten. Konzept: Verleihbibliothek. Von der Stadtbücherei aufgebaut und organisiert.,"Friedrich List (1789 bis 1846). Er wird meist als ""Nationalökonom"" und ""Vorkämpfer der deutschen Einheit"" gefeiert. Ohne ihn ist das deutsche Eisenbahnwesen nicht vorstellbar, der Bau der Strecke Dresden-Leipzig ist im Wesentlichen ihm zu verdanken. Er gilt als Wegbereiter des deutschen Zollvereins, welcher die deutsche Einheit auf wirtschaftlichem Gebiet förderte und den Aufschwung der deutschen Industrie förderte.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/friedrich-list-schule,friedrich-list-schule,Frankfurt Schulwegweiser,2026-04-06
SW-georg-buechner-schule,Georg-Büchner-Schule (Grundschule),Grundschule,grundschulen,"Integrierte Gesamtschule (IGS), Grundschule",1-10,Pfingstbrunnenstraße 15-17,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1161077,8.6370427,+49 69 212 34130,+49 69 212 39006,poststelle.georg-buechner-schule@stadt-frankfurt.de,http://www.gbs-ffm.de,Stadt Frankfurt am Main,,,Hilde Zeyen,N.N.,1114.0,50.0,siehe Erläuterung der Unterrichtszeit,,"Hilfen zur Berufsorientierung, Schüleraustausch / Schulpartnerschaft, Schulgarten / Schulhofgestaltung, Schwerpunkt Musik, Schwerpunkt Kunst",Schwerpunkte,,Deutsch,Englisch,Englisch,"Französisch, Spanisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Weitere Sprachangebote",,"Englisch, Englisch, Französisch, Spanisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch, Weitere Sprachangebote",,Schule mit Frühbetreuung,"AGs, Angebote zur beruflichen Orientierung, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Pausenverkauf",,"SchülerPressePreise für den Blog ‚gbs-weekly‘ (2019, 2020, 2021), Frankfurter Nachhaltigkeitspreis (2021), Frankfurter Schulpreis 2022 ( 3. Pl.)","""Verein der Freunde und Förderer der Georg-Büchner-Schule Frankfurt e.V."", Ansprechpartner: Herr Hundertmark",Öffnungszeiten: Montag bis Donnerstag von 9 bis 12 Uhr und nach Vereinbarung. Von der Stadtbücherei aufgebaut und organisiert.,"Georg Büchner (1813-1837), Schriftsteller, Sozialkritiker, Wissenschaftler",,,Integrierte Gesamtschule mit Grundstufe,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/georg-buechner-schule,georg-buechner-schule,Frankfurt Schulwegweiser,2026-04-06
3122,Goldsteinschule,Grundschule,grundschulen,Grundschule,1-4,Am Wiesenhof 109,60529,Frankfurt am Main,Frankfurt am Main,Hessen,Schwanheim,50.0803,8.60705,+49 69 212 32991,+49 69 212 32872,poststelle.goldsteinschule@stadt-frankfurt.de,http://www.goldsteinschule.de,Stadt Frankfurt am Main,,,Frau Solmaz Heidlindemann,Frau Nadja Schleicher,472.0,22.0,08:00 bis 13:15 Uhr,,,,,Deutsch,"Französisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,,"Französisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Ganztagsangebote, Kooperationspartner, Pausenverkauf",,"Zertifikat ""Gesundheitsfördernde Schule""","""Verein der Freunde und Förderer der Goldsteinschule e. V."", Ansprechpartnerin: Frau Annemarie Sauer, Foerderverein-Goldsteinschule@gmx.de",Schüleraustausch,Benannt nach der Siedlung Goldstein,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/goldsteinschule,goldsteinschule,Frankfurt Schulwegweiser,2026-04-06
SW-griechische-schule,Griechische Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-6,Linkstraße 25,65933,Frankfurt am Main,Frankfurt am Main,Hessen,Griesheim,50.0920984,8.6082962,+49 69 38010241,+49 69 38010242,griechische-schule-frankfurt@t-online.de,,Private Träger,Freier Träger,Staatlich anerkannte Ergänzungsschule,Frau Markou (Grundschule),,190.0,12.0,08:00 bis 14:00 Uhr,,"Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport",,,Griechisch,,Deutsch,Englisch,,"Deutsch, Englisch",,,,,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/griechische-schule,griechische-schule,Frankfurt Schulwegweiser,2026-04-06
3654,Grundschule Harheim,Grundschule,grundschulen,Grundschule,1-4,In den Schafgärten 25,60437,Frankfurt am Main,Frankfurt am Main,Hessen,Harheim,50.1856,8.69256,+49 69 212 44430,+49 69 212 44432,poststelle.grundschule-harheim@stadt-frankfurt.de,http://www.grundschule-harheim.de,Stadt Frankfurt am Main,,,Elisa Di Rienzo,Sarah Galow,277.0,13.0,08:15 bis 13:35 Uhr,,"Schwerpunkt Musik, Schwerpunkt Sport",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Portugiesisch, Weitere Sprachangebote",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Portugiesisch, Weitere Sprachangebote",Ganztagsangebote,Schule mit Frühbetreuung,"Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen",,,"""Verein der Freunde und Förderer der Grundschule Harheim e.V."", Ansprechpartnerin: Frau Brünner",Von der Stadtbücherei aufgebaut und organisiert.,Benannt nach der ehemals selbständigen Gemeinde Harheim.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/grundschule-harheim,grundschule-harheim,Frankfurt Schulwegweiser,2026-04-06
4002,Grundschule Kalbach,Grundschule,grundschulen,Grundschule,1-4,Kalbacher Hauptstraße 54,60437,Frankfurt am Main,Frankfurt am Main,Hessen,Kalbach-Riedberg,50.1884,8.64165,+49 69 212 44607,+49 69 212 44929,poststelle.grundschule-kalbach@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Dierk Noltemeyer,Ute Schlegel,260.0,12.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkt Sprachen, Schwerpunkte",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote",,,"""Freunde und Förderer der Grundschule Kalbach""","Öffnungszeiten: Geöffnet in der großen Pause, zusätzlich Schmökerstunden für die Klassen. Präsenzbibliothek, keine Ausleihe. Regelmäßige Ausweitung des Buchbestandes durch Spenden und Neuanschaffungen.",Benannt nach der ehemals selbstständigen Gemeinde Kalbach,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/grundschule-kalbach,grundschule-kalbach,Frankfurt Schulwegweiser,2026-04-06
