Schul-nummer,Landkreis,Gemeinde,rechtsform,gesamtschultyp,schulname,plz,ort,strasse,Telefon- vorwahl,Telefon-nummer,Kennung Internat,Vorklassen,Grundschulen,davon an_Eingangsstufe,Grundschule (inkl. GFLX),Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,gesamtschultyp,Gymnasien,davon an_Gymnasien (Mittelstufe),Gymnasien (Oberstufe),Förderschulen,Förderschule mit Förderschwerpunkt_Sehen,emotionale und soziale Entwicklung,Hören,körperliche und motorische Entwicklung,Kranke,Lernen,Sprachheil-förderung,geistige Entwicklung,Realschul-klassen,Nichtdeutscher Herkunfts- sprache,Schulen für Erwachsene,davon an_Abend-hauptschule,Abend-realschule,Abend-gymnasium,Kolleg,Schülerinnen und Schüler insgesamt mit Vorklassen,Schülerinnen und Schüler insgesamt ohne Vorklassen,fax,email,traegerschaft,schueler_gesamt,ndh_count,school_type,stadt,bundesland,data_source,data_retrieved,latitude,longitude
3181,412,000,1,2,Carlo-Mierendorff-Schule,60435,Frankfurt am Main,Gravensteiner Platz 2,069,21241910,,,,,,,,,,612,314,,314,,,,,,,,,,,27,,,,,,953,953,21241940,poststelle@carlo-mierendorff-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,953,27.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1544,8.69753
3654,412,000,1,,Grundschule Harheim,60437,Frankfurt am Main,In den Schafgärten 25,069,21244430,,16,277,,277,,,,,,,,,,,,,,,,,,,,,,,,,293,277,21244432,poststelle@grundschule-harheim.frankfurt.schulverwaltung.hessen.de,Öffentlich,277,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1856,8.69256
3666,412,000,1,,Schule am Erlenbach,60437,Frankfurt am Main,Im Feldchen 26,069,21244999,,,196,,196,,,,,,,,,,,,,,,,,,,,,,,,,196,196,21245157,poststelle@schule-am-erlenbach.frankfurt.schulverwaltung.hessen.de,Öffentlich,196,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.2054,8.7106
3667,412,000,1,,Michael-Grzimek-Schule,60437,Frankfurt am Main,An der Walkmühle 10,069,21245544,,,360,,360,,,,,,,,,,,,,,,,,,,,,,,,,360,360,95000564,poststelle@michael-grzimek-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,360,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.2004,8.67141
3822,412,000,1,,Schule am Hang,60388,Frankfurt am Main,Am Bächelchen 23,069,21241257,,,463,,463,,,,,,,,,,,,,,,,,,,,,,,,,463,463,21241259,poststelle@schule-am-hang.frankfurt.schulverwaltung.hessen.de,Öffentlich,463,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1527,8.7565
3824,412,000,1,,Schule am Landgraben,60388,Frankfurt am Main,Landgraben 2,069,21275055,,,172,,172,,,,,,,,,,,,,,,,,,,,,,,,,172,172,21241208,poststelle@schule-am-landgraben.frankfurt.schulverwaltung.hessen.de,Öffentlich,172,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1569,8.74946
4002,412,000,1,,Grundschule Kalbach,60437,Frankfurt am Main,Kalbacher Hauptstraße 54,069,21244607,,,254,,254,,,,,,,,,,,,,,,,,,,,,,,,,254,254,21244929,poststelle@grundschule-kalbach.frankfurt.schulverwaltung.hessen.de,Öffentlich,254,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1884,8.64165
4179,412,000,1,,Henri-Dunant-Schule,65936,Frankfurt am Main,Schaumburger Straße 62,069,21275175,,,321,,321,,,,,,,,,,,,,,,,,,,18,,,,,,339,339,21275684,poststelle@henri-dunant-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,339,18.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1189,8.5601
4208,412,000,1,,Martin-Buber-Schule,60598,Frankfurt am Main,Sachsenhäuser Landwehrweg 301,069,21245486,,,256,,256,,,,,,,,,,,,,,,,,,,,,,,,,256,256,21245480,poststelle@martin-buber-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,256,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0857,8.68108
4260,412,000,2,,Freie Christliche Schule,60386,Frankfurt am Main,Orber Straße 4,069,4200030,,,197,,197,,,,153,,427,302,125,,,,,,,,,,,,,,,,,777,777,42000311,sekretariat@fcsf.de,Privat,777,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1263,8.76471
4262,412,000,2,,Margarete-Steiff-Schule,60431,Frankfurt am Main,Platenstraße 75,069,47884680,,,173,,173,,,,,,,,,,,,,,,,,,,,,,,,,173,173,5870236,info@m‑steiff-schule.de,Privat,173,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1609,8.62134
4268,412,000,2,,Freie Schule Frankfurt,60596,Frankfurt am Main,Vogelweidstraße 3,069,636750,,,47,,47,25,,,,,,,,,,,,,,,,,,,,,,,,72,72,636750,info@freieschulefrankfurt.de,Privat,72,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0972,8.66766
4288,412,000,1,,Michael-Ende-Schule,60489,Frankfurt am Main,Niddagaustraße 29,069,21244197,,14,416,,416,,176,,164,,,,,,,,,,,,,,,44,,,,,,814,800,21244371,poststelle@michael-ende-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,800,44.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1284,8.61129
4293,412,000,2,,International Bilingual Montessori School,60325,Frankfurt am Main,Senckenberganlage 20 - 22,069,745646,,,139,53,86,,,,,,,,,,,,,,,,,,,,,,,,,139,139,745632,office@ibms-frankfurt.com,Privat,139,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.115,8.65987
4301,412,000,1,,Astrid-Lindgren-Schule,60431,Frankfurt am Main,Platenstraße 75,069,21245662,,16,322,,322,,,,,,,,,,,,,,,,,,,13,,,,,,351,335,21245660,poststelle@astrid-lindgren-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,335,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1378,8.6624
4324,412,000,2,,Lycée Français Victor Hugo,60488,Frankfurt am Main,Gontardstraße 11,069,7474980,,,289,,289,,,,,,241,241,,,,,,,,,,,,,,,,,,530,530,747498142,secretariat@lfvh.net,Privat,530,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1349768,8.6077897
4325,412,000,2,2,Aktive Schule Frankfurt,60433,Frankfurt am Main,Wacholderweg 5,069,54000984,,,36,,36,,,,,42,,,,,,,,,,,,,,,,,,,,78,78,54000985,aktive-schule-frankfurt@t-online.de,Privat,78,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1651,8.67902
4380,412,000,1,,Grundschule Riedberg,60438,Frankfurt am Main,Zur Kalbacher Höhe 15,069,21273300,,,394,,394,,,,,,,,,,,,,,,,,,,,,,,,,394,394,21273330,poststelle@grundschule-riedberg.frankfurt.schulverwaltung.hessen.de,Öffentlich,394,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1778779,8.6380448
4381,412,000,2,,Erasmus Frankfurter Stadtschule,60314,Frankfurt am Main,Sonnemannstraße 9 - 11,069,90743640,,,354,,354,,,,,,,,,,,,,,,,,,,,,,,,,354,354,907436412,info@erasmus-schule.eu,Privat,354,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1100273,8.6973096
4382,412,000,2,2,Metropolitan School Frankfurt,60489,Frankfurt am Main,Eschborner Landstraße 134-138,069,96864050,,,232,,232,,,,,276,,,,,,,,,,,,,,,,,,,,508,508,968640520,ferres@m-school.de,Privat,508,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1295,8.59543
4383,412,000,2,,Phorms Frankfurt,60322,Frankfurt am Main,Fürstenberger Straße 3 - 9,069,17392550,,,895,174,721,,,,,,292,227,65,,,,,,,,,,,,,,,,,1187,1187,17392574,frankfurt@phorms.de,Privat,1187,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1256666,8.6807275
4384,412,000,1,,Liesel-Oestreicher-Schule,60435,Frankfurt am Main,Boskoopstraße 6,069,21273475,,,345,,345,,,,,,,,,,,,,,,,,,,,,,,,,345,345,21273500,poststelle.liesel-oestreicher-schule@stadt-frankfurt.de,Öffentlich,345,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1571,8.69986
4385,412,000,1,,Ludwig-Börne-Schule,60311,Frankfurt am Main,Lange Straße 30-36,069,21233056,,,,,,,149,,234,,,,,,,,,,,,,,,50,,,,,,433,433,21231646,poststelle@ludwig-boerne-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,433,50.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1141171,8.6936718
4386,412,000,1,2,IGS Herder,60316,Frankfurt am Main,Wittelsbacher Allee 6-12,069,21235334,,,,,,,,,,571,,,,,,,,,,,,,,14,,,,,,585,585,21240536,poststelle@igs-herder.frankfurt.schulverwaltung.hessen.de,Öffentlich,585,14.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1178,8.70154
4387,412,000,1,,Gymnasium Riedberg,60438,Frankfurt am Main,Friedrich-Dessauer-Straße 2,069,21244001,,,,,,,,,,,1475,1083,392,,,,,,,,,,,24,,,,,,1499,1499,21244755,poststelle@gymnasium-riedberg.frankfurt.schulverwaltung.hessen.de,Öffentlich,1499,24.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.177,8.63504
4388,412,000,1,,Panoramaschule,65934,Frankfurt am Main,Werner-Bockelmann-Straße 3,069,21271008,,,,,,,,,,,,,,181,,,,,,,,181,,,,,,,,181,181,21271049,poststelle@pbb.frankfurt.schulverwaltung.hessen.de,Öffentlich,181,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1037855,8.577786
4389,412,000,2,,Rackow-Schule Frankfurt,60320,Frankfurt am Main,Eckenheimer Landstraße 303,069,552754,,,,,,,,,147,,132,132,,,,,,,,,,,,,,,,,,279,279,557763,poststelle@rackow.frankfurt.schulverwaltung.hessen.de,Privat,279,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1391219,8.6843858
4390,412,000,2,,ASB Erasmus Frankfurter Stadtschule,60314,Frankfurt am Main,Sonnemannstraße 9 - 11,069,25628890,,,,,,,,,,,202,162,40,,,,,,,,,,,,,,,,,202,202,2562889150,gymnasium@erasmus-frankfurt.de,Privat,202,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1100273,8.6973096
4391,412,000,1,2,IGS West,65929,Frankfurt am Main,Palleskestraße 20,069,21247087,,,,,,,,,,565,,,,,,,,,,,,,,29,,,,,,594,594,21247093,poststelle@igswest.frankfurt.schulverwaltung.hessen.de,Öffentlich,594,29.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1049704,8.5551009
4392,412,000,2,,Main Schule,60313,Frankfurt am Main,Stiftstraße 30,069,57801643,,,33,,33,,,,,,,,,,,,,,,,,,,,,,,,,33,33,95454575,info@main-schule.de,Privat,33,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1164933,8.6812911
4393,412,000,2,2,IKS - Interkulturelle Schule Rhein-Main,60433,Frankfurt am Main,Kaiserkronenweg 1,069,27997180,,,71,,71,,,,,130,,,,,,,,,,,,,,,,,,,,201,201,27997182,info@iks-rhein-main.de,Privat,201,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1094,8.66743
4394,412,000,2,,Alexander-Puschkin-Schule,60596,Frankfurt am Main,Stresemannallee 30,069,68097839,,,108,,108,,,,,,,,,,,,,,,,,,,,,,,,,108,108,68097838,info@alexander-puschkin-schule.org,Privat,108,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0960202,8.670427
4395,412,000,1,,Valentin-Senger-Schule,60389,Frankfurt am Main,Valentin-Senger-Straße 9,069,21233095,,,277,,277,,,,,,,,,,,,,,,,,,,,,,,,,277,277,21234724,poststelle@valentin-senger.Frankfurt.schulverwaltung.hessen.de,Öffentlich,277,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1398952,8.7005427
4396,412,000,1,,Marie-Curie-Schule,60438,Frankfurt am Main,Gr.-v.-Stauffenberg-Allee 55,069,21277303,,,438,,438,,,,,,,,,,,,,,,,,,,,,,,,,438,438,21277345,poststelle@marie-curie.frankfurt.schulverwaltung.hessen.de,Öffentlich,438,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1818,8.62449
4397,412,000,1,,Adorno-Gymnasium,60323,Frankfurt am Main,Miquelallee,069,21271917,,,,,,,,,,,1287,1052,235,,,,,,,,,,,13,,,,,,1300,1300,21275975,poststelle@adorno.frankfurt.schulverwaltung.hessen.de,Öffentlich,1300,13.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1313088,8.6621918
4398,412,000,1,,Viktoria-Luise-Schule,60486,Frankfurt am Main,Leonardo-da-Vinci-Allee 11,069,21277306,,,357,,357,,,,,,,,,,,,,,,,,,,15,,,,,,372,372,21277317,poststelle.viktoria-luise-schule@stadt-frankfurt.de,Öffentlich,372,15.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1130506,8.6250304
4399,412,000,1,2,IGS Süd,60596,Frankfurt am Main,Textorstraße 104,069,21275401,,,,,,,,,,574,,,,,,,,,,,,,,22,,,,,,596,596,–,poststelle@igs-sued.frankfurt.schulverwaltung.hessen.de,Öffentlich,596,22.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0986512,8.6791754
4400,412,000,1,1,KGS Niederrad,60528,Frankfurt am Main,Mainfeldstraße 45,069,21244744,,,,,,,125,,383,,568,404,164,,,,,,,,,,,31,,,,,,1107,1107,–,poststelle@kgs-niederrad.frankfurt.schulverwaltung.hessen.de,Öffentlich,1107,31.0,Sonstige,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0907847,8.6428356
4401,412,000,1,,Gymnasium Nord (Westhausen),60488,Frankfurt am Main,Muckermannstraße 1,069,21275399,,,,,,,,,,,1397,1107,290,,,,,,,,,,,,,,,,,1397,1397,21274078,poststelle@gymnasium-nord.frankfurt.schulverwaltung.hessen.de,Öffentlich,1397,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1393,8.6099
4402,412,000,1,,Grundschule Europaviertel,60326,Frankfurt am Main,Stephensonstraße 2,069,21270935,,,331,,331,,,,,,,,,,,,,,,,,,,13,,,,,,344,344,21234389,poststelle@g.europaviertel.frankfurt.schulverwaltung.hessen.de,Öffentlich,344,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1072615,8.6406666
4403,412,000,1,2,Josephine-Baker-Gesamtschule,60438,Frankfurt am Main,Gräfin-Dönhoff-Straße 11,069,21275644,,,,,,,,,,567,,,,,,,,,,,,,,23,,,,,,590,590,–,poststelle@josephine-baker-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,590,23.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1801612,8.637293
4404,412,000,2,,Grundschule Fintosch,60325,Frankfurt am Main,Schumannstraße 4 - 6,069,77076911,,,58,14,44,,,,,,,,,,,,,,,,,,,,,,,,,58,58,77076912,info@fintosch.com,Privat,58,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1133881,8.6550581
4405,412,000,1,,Toni-Sender-Oberstufe,60486,Frankfurt am Main,Voltastraße 1a,069,21244355,,,,,,,,,,,469,,469,,,,,,,,,,,,,,,,,469,469,–,poststelle@tso.frankfurt.schulverwaltung.hessen.de,Öffentlich,469,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1165541,8.6415209
4406,412,000,1,2,IGS 15,65929,Frankfurt am Main,Palleskestraße 60,069,21271432,,,,,,,,,,600,,,,,,,,,,,,,,13,,,,,,613,613,–,poststelle@igs15.frankfurt.schulverwaltung.hessen.de,Öffentlich,613,13.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1092,8.54279
4407,412,000,1,,Gymnasium Römerhof,60486,Frankfurt am Main,Am Römerhof 13 c,069,21270738,,,,,,,,,,,904,821,83,,,,,,,,,,,18,,,,,,922,922,21234389,poststelle@gym-roemerhof.frankfurt.schulverwaltung.hessen.de,Öffentlich,922,18.0,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1075,8.6086
4412,412,000,1,,Judith-Kerr-Schule,60438,Frankfurt am Main,Carl-Hermann-Rudloff-Allee 11,069,21245432,,,171,,171,,,,,,,,,,,,,,,,,,,14,,,,,,185,185,21245415,poststelle@judith-kerr-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,185,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1757883,8.6164185
4413,412,000,1,2,Johanna-Tesch-Schule,60487,Frankfurt am Main,Falkstraße 60,069,21241134,,,,,,,,,,856,,,,,,,,,,,,,,,,,,,,856,856,–,poststelle@igs-norden.frankfurt.schulverwaltung.hessen.de,Öffentlich,856,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1244911,8.6463671
4415,412,000,1,,Stadtgymnasium Frankfurt,60487,Frankfurt am Main,Neue Börsenstraße 1,069,21249470,,,,,,,,,,,132,132,,,,,,,,,,,,,,,,,,132,132,–,poststelle.stadtgymnasium-frankfurt@stadt-frankfurt.de,Öffentlich,132,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1255059,8.6297126
4417,412,000,1,,Neues Gymnasium Frankfurt,60487,Frankfurt am Main,Neue Börsenstraße 1,069,21249480,,,,,,,,,,,128,128,,,,,,,,,,,,,,,,,,128,128,–,poststelle.neues-gymnasium-frankfurt@stadt-frankfurt.de,Öffentlich,128,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1255059,8.6297126
4419,412,000,2,,Karl Popper Schule,60528,Frankfurt am Main,Lyoner Straße 34,069,870046980,,,,,,,,,,,137,137,,,,,,,,,,,,,,,,,,137,137,–,mail@k-p-schule.de,Privat,137,,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0788933,8.6234083
4426,412,000,1,,Gymnasium Süd,60594,Frankfurt am Main,Diesterwegstraße 11,069,21241170,,,,,,,,,,,437,437,,,,,,,,,,,,,,,,,,437,437,21244710,poststelle@gym-sued.frankfurt.schulverwaltung.hessen.de,Öffentlich,437,,Gymnasium,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1017082,8.68286
4601,412,000,1,,Viktor-Frankl-Schule,60320,Frankfurt am Main,Fritz-Tarnow-Straße 27,069,21235132,,,,,,,,,,,,,,140,,,,140,,,,,,,,,,,,140,140,21232058,poststelle@viktor-frankl-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,140,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1433,8.67142
4602,412,000,1,,Kasinoschule,65929,Frankfurt am Main,Kasinostraße 4,069,21245554,,,,,,,,,,,,,,165,,,,,,165,,,,,,,,,,165,165,21245843,poststelle@kasinoschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,165,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1019,8.54974
4604,412,000,2,,Michael-Schule,65933,Frankfurt am Main,Eichhörnchenpfad 4,069,93995580,,,,,,,,,,,,,,58,,6,,4,,5,1,42,,,,,,,,58,58,939955820,info@michael-schule-frankfurt.de,Privat,58,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1031,8.58998
4605,412,000,1,,Heinrich-Hoffmann-Schule,60528,Frankfurt am Main,Marienburgstraße 4,069,21231115,,,,,,,,,,,,,,39,,,,,39,,,,,,,,,,,39,39,21275959,poststelle@heinrich-hoffmann-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,39,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0986,8.66817
4606,412,000,1,,Mosaikschule,60439,Frankfurt am Main,Gerhart-Hauptmann-Ring 240 a,069,21270277,,,,,,,,,,,,,,164,,,,,,,,164,,,,,,,,164,164,21270040,poststelle@mosaikschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,164,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1625,8.61202
4607,412,000,1,,Weißfrauenschule,60329,Frankfurt am Main,Gutleutstraße 38,069,21235670,,18,,,,,,,,,,,,121,,,,,,,121,,,,,,,,,139,121,21240533,poststelle@weissfrauenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,121,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1059,8.66775
4608,412,000,1,,Hermann-Herzog-Schule,60327,Frankfurt am Main,Gutleutstraße 295 - 301,069,24268670,,,,,,,,,,,,,,98,90,,,,,,,,8,,,,,,,98,98,24268639,poststelle@hermann-herzog-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,98,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1432,8.67488
4609,412,000,1,,Hermann-Luppe-Schule,60488,Frankfurt am Main,An der Praunheimer Mühle 7,069,21232188,,,,,,,,,,,,,,56,,56,,,,,,,,,,,,,,56,56,21238763,poststelle@schule-fuer-erziehungshilfe.frankfurt.schulverwaltung.hessen.de,Öffentlich,56,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1508,8.62482
4610,412,000,1,,Fritz-Redl-Schule,65929,Frankfurt am Main,Kurmainzer Straße 20,069,21242021,,,,,,,,,,,,,,36,,36,,,,,,,,,,,,,,36,36,21248599,poststelle@fritz-redl-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,36,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.2843,8.58635
4611,412,000,1,,Bürgermeister-Grimm-Schule,60326,Frankfurt am Main,Ackermannstraße 39,069,21235509,,,,,,,,,,,,,,117,,,,,,117,,,,,,,,,,117,117,21242570,poststelle@buergermeister-grimm-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,117,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0993,8.6256
4612,412,000,1,,Charles-Hallgarten-Schule,60386,Frankfurt am Main,Am Bornheimer Hang 10,069,21277010,,,,,,,,,,,,,,146,,,,,,58,,88,,,,,,,,146,146,21277050,poststelle@hallgartenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,146,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1327,8.72044
4614,412,000,1,,Johann-Hinrich-Wichern-Schule,60433,Frankfurt am Main,Victor-Gollancz-Weg 4,069,21235134,,,,,,,,,,,,,,265,,,,,,265,,,,,,,,,,265,265,21232753,poststelle@johann-hinrich-wichern-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,265,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1581,8.6622
4677,412,000,2,,Schule im Reinhardshof,60437,Frankfurt am Main,Alt-Erlenbach 87,06101,545061,%,,,,,,,,,,,,,17,,17,,,,,,,,,,,,,,17,17,545030,schule@kinderheimat-reinhardshof.de,Privat,17,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.2034,8.70878
4752,412,000,1,,Schule am Sommerhoffpark,60327,Frankfurt am Main,Gutleutstraße 295,069,2426860,,15,,,,,,,,,,,,156,,,156,,,,,,,,,,,,,171,156,24268620,poststelle@sas.frankfurt.schulverwaltung.hessen.de,Öffentlich,156,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.106,8.66806
4758,412,000,2,,Schule am Sachsenhäuser Berg,60599,Frankfurt am Main,Hainer Weg 98,069,6809090,,,,,,,,,,,,,,138,,,,,138,,,,,,,,,,,138,138,68090922,poststelle@sachsenhaeuserberg.frankfurt.schulverwaltung.hessen.de,Privat,138,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0966441,8.6943686
4771,412,000,2,,Alois-Eckert-Schule,60318,Frankfurt am Main,Eschenheimer Anlage 20 A,069,5962716,,,,,,,,,,,,,,43,,43,,,,,,,,,,,,,,43,43,59790150,alois-eckert-schule@t-online.de,Privat,43,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1198,8.6879
4782,412,000,1,,Berthold-Simonsohn-Schule,60326,Frankfurt am Main,Kostheimer Straße 11 - 13,069,21239407,,,,,,,,,,,,,,14,,13,,,,1,,,,,,,,,,14,14,21239093,poststelle@berthold-simonsohn-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,14,,Förderschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1035171,8.640238
