schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe
111521,02,Otfried-Preußler-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Köln, KG Otfried-Preußler",3,50735,Köln,Garthestr. 20-24,0221,9765360,0221,97653629,111521@schule.nrw.de,http://www.ops-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,357826,5647934,,50.965446,6.975269,Grundschule,Öffentlich,Köln,Otfried-Preußler-Schule Städt. Kath. Grundschule - Primarstufe -,02219765360,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
111545,02,Städt. Kath. Grundschule,Gotenring,,"Köln, KG Gotenring",3,50679,Köln,Gotenring 5,0221,33750030,0221,337500319,111545@schule.nrw.de,http://kgs-gotenring.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,357980,5644649,,50.935961,6.978742,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Gotenring,022133750030,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
111557,02,Städt. Kath. Grundschule,Lebensbaumweg,,"Köln, KG Lebensbaumweg",3,50767,Köln,Lebensbaumweg 51,0221,97942410,0221,97942417,111557@schule.nrw.de,http://www.kgs-lebensbaumweg.de,1,10182,05315000,1,01.08.1973,EPSG:25832,352821,5653031,,51.009993,6.901977,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Lebensbaumweg,022197942410,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
111569,02,Städt. Kath. Grundschule,Heßhofstr.,,"Köln, KG Heßhofstr.",3,51107,Köln,Heßhofstr. 45,0221,35666330,0221,356663317,111569@schule.nrw.de,http://www.kgs-hesshofstrasse.koeln,1,10182,05315000,1,01.08.1973,EPSG:25832,361146,5643991,,50.930819,7.024023,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Heßhofstr.,022135666330,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
111570,02,Städt. Kath. Grundschule,Horststr.,,"Köln, KG Horststr.",3,51063,Köln,Horststr. 1,0221,22130030,0221,22130037,111570@schule.nrw.de,http://www.kgs-horststrasse.de,1,10182,05315000,1,01.08.1973,EPSG:25832,359422,5647021,,50.957632,6.998335,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Horststr.,022122130030,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
111594,02,Städt. Kath. Grundschule,Vietorstr.,,"Köln, KG Vietorstraße",3,51103,Köln,Vietorstr. 89,0221,99222010,0221,992220111,111594@schule.nrw.de,https://www.kgs-vietorstrasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,359463,5645292,,50.942103,6.999586,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Vietorstr.,022199222010,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
111624,02,Vincenz-Statz-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Köln, KG Vincenz-Statz",3,50823,Köln,Lindenbornstr. 15-19,0221,22138070,0221,22138072,111624@schule.nrw.de,http://www.kgs-vincenz-statz.de,1,10182,05315000,1,01.08.1973,EPSG:25832,353524,5645855,,50.945685,6.914882,Grundschule,Öffentlich,Köln,Vincenz-Statz-Schule Städt. Kath. Grundschule - Primarstufe -,022122138070,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
111636,02,Städt. Kath. Grundschule,Lindenburger Allee,,"Köln, KG Lindenburger Allee",3,50931,Köln,Lindenburger Allee 38,0221,355899711,0221,355899717,111636@schule.nrw.de,http://www.kgs-lindenburger-allee.de,1,10182,05315000,1,01.08.1973,EPSG:25832,353535,5643798,,50.927202,6.915866,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Lindenburger Allee,0221355899711,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
111648,02,Stephan-Lochner-Schule,Städt. Gemeinschaftsgrundschule,- Primarstufe -,"Köln, GG Stephan-Lochner-Schule",3,50674,Köln,Lochnerstr. 13-15,0221,35533680,0221,355336812,111648@schule.nrw.de,http://www.stephan-lochner-schule.de,1,10182,05315000,1,01.08.1973,EPSG:25832,354933,5644086,,50.930144,6.93563,Grundschule,Öffentlich,Köln,Stephan-Lochner-Schule Städt. Gemeinschaftsgrundschule - Primarstufe -,022135533680,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
111650,02,Marienschule,Städt. Kath. Grundschule,- Primarstufe -,"Köln, KG Marienschule",3,50737,Köln,Altonaer Str. 32,0221,9659770,0221,96597717,111650@schule.nrw.de,http://www.marienschule-koeln.jimdo.com,1,10182,05315000,1,01.08.1973,EPSG:25832,354331,5651386,,50.995594,6.924147,Grundschule,Öffentlich,Köln,Marienschule Städt. Kath. Grundschule - Primarstufe -,02219659770,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
111661,02,Städt. Kath. Grundschule,Lohrbergstr.,,"Köln, KG Lohrbergstr.",3,50939,Köln,Lohrbergstr. 46,0221,35588910,0221,355889120,111661@schule.nrw.de,https://111661.nrw.schule/public,1,10182,05315000,1,01.08.1973,EPSG:25832,354015,5641871,,50.910006,6.923462,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Lohrbergstr.,022135588910,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0
111673,02,Stadt Köln,Sternsingerschule,Katholische Grundschule,"Köln, KG Longericher Hauptstraße",3,50739,Köln,Longericher Hauptstr. 83-85,0221,99100200,0221,991002022,111673@schule.nrw.de,http://www.kgs-longericher-hauptstr.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,352989,5651523,,50.996484,6.904981,Grundschule,Öffentlich,Köln,Stadt Köln Sternsingerschule Katholische Grundschule,022199100200,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
111697,02,Städt. Kath. Grundschule,Mainzer Str.,,"Köln, KG Mainzer Str.",3,50678,Köln,Mainzer Str. 30-34,0221,35666360,0221,356663637,111697@schule.nrw.de,https://www.kgsmainzerstrasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,356894,5642874,,50.919741,6.963993,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Mainzer Str.,022135666360,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
111703,02,Städt. Kath. Grundschule,Mengenicher Str.,,"Köln, KG Mengenicher Str.",3,50829,Köln,Mengenicher Str. 28,0221,22139341,0221,22139344,111703@schule.nrw.de,http://www.kgs-mengenicher.de,1,10182,05315000,1,01.08.1973,EPSG:25832,349938,5649301,,50.975729,6.862451,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Mengenicher Str.,022122139341,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
111715,02,Städt. Gem. Grundschule,Nesselrodestr.,,"Köln, GG Nesselrodestr.",3,50735,Köln,Nesselrodestr. 15,0221,22252230,0221,222522330,111715@schule.nrw.de,http://www.ggsnesselrode-koeln.de,1,10182,05315000,1,01.08.1973,EPSG:25832,357133,5649292,,50.977478,6.964873,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Nesselrodestr.,022122252230,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
111727,02,Städt. Kath. Grundschule,Neufelder Str.,,"Köln, KG Neufelder Str.",3,51067,Köln,Neufelder Str. 2-4,0221,96500100,0221,965001013,111727@schule.nrw.de,http://www.kgs-neufelder-strasse.de,1,10182,05315000,1,01.08.1973,EPSG:25832,363401,5648297,,50.970057,7.054477,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Neufelder Str.,022196500100,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
111739,02,Städt. Kath. Grundschule,Olpener Str.,,"Köln, KG Olpener Str.",3,51109,Köln,Olpener Str. 930,0221,33773790,0221,337737919,111739@schule.nrw.de,https://www.kgs-olpener-strasse-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,365016,5645480,,50.94512,7.07851,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Olpener Str.,022133773790,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
111740,02,Städt. Kath. Grundschule,Osterather Str.,,"Köln, KG Osterather Str.",3,50739,Köln,Osterather Str. 13,0221,172900,0221,1701665,111740@schule.nrw.de,http://www.kgs-osterather-strasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,355188,5647266,,50.958785,6.937992,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Osterather Str.,0221172900,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
111752,02,Stadt Köln,Paul-Klee-Schule,Gemeinschaftsgrundschule,"Köln, GG Paul-Klee-Schule",3,50823,Köln,Ottostr. 76,0221,22131062,0221,22131066,111752@schule.nrw.de,http://www.paulkleeschule-koeln.de,1,10182,05315000,1,01.08.1973,EPSG:25832,354503,5647082,,50.956959,6.928318,Grundschule,Öffentlich,Köln,Stadt Köln Paul-Klee-Schule Gemeinschaftsgrundschule,022122131062,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
111776,02,Städt. Kath. Grundschule,Zehnthofstr.,,"Köln, KG Zehnthofstrasse",3,51107,Köln,Zehnthofstr. 22-24,0221,35589710,0221,355897124,111776@schule.nrw.de,http://www.kgs-zehnthofstrasse.de,1,10182,05315000,1,01.08.1973,EPSG:25832,362421,5643991,,50.931124,7.042155,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Zehnthofstr.,022135589710,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
111788,02,Katholische Grundschule Dellbrück,der Stadt Köln,- Primarstufe -,"Köln, KG Dellbrück",3,51069,Köln,Thurner Str. 23,0221,9659611,0221,9659620,111788@schule.nrw.de,http://www.kgs-dellbrueck.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,365017,5648834,,50.975264,7.07728,Grundschule,Öffentlich,Köln,Katholische Grundschule Dellbrück der Stadt Köln - Primarstufe -,02219659611,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
111790,02,Städt. Gem. Grundschule,Langemaß,,"Köln, GG Langemaß",3,51063,Köln,Langemaß 21,0221,3377530,0221,623734,111790@schule.nrw.de,http://www.kgs-langemass.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,360182,5648287,,50.969195,7.008663,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Langemaß,02213377530,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0
111806,02,Städt. Kath. Grundschule,Trierer Str.,,"Köln, KG Trierer Straße",3,50676,Köln,Trierer Str. 8,0221,35580170,0221,355801727,111806@schule.nrw.de,,1,10182,05315000,1,01.08.1973,EPSG:25832,355699,5643807,,50.927828,6.946633,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Trierer Str.,022135580170,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0
111820,02,Kardinal-Frings-Schule,Städt. Kath. Grundschule,,"Köln, KG (Verb.) Kardinal-Frings-Schule",3,50829,Köln,Vogelsanger Str. 453,0221,355012610,0221,355012615,111820@schule.nrw.de,http://kardinal-frings-schule.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,351117,5647019,,50.955528,6.880167,Grundschule,Öffentlich,Köln,Kardinal-Frings-Schule Städt. Kath. Grundschule,0221355012610,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0
111831,02,Städt. Gemeinschaftsgrundschule,- Primarstufe -,,"Köln, GG Volberger Weg",3,51107,Köln,Volberger Weg 17,0221,356506233,0221,356506255,111831@schule.nrw.de,http://www.ggs-volbergerweg.de,1,10182,05315000,1,01.08.1973,EPSG:25832,365768,5643240,,50.925163,7.090033,Grundschule,Öffentlich,Köln,Städt. Gemeinschaftsgrundschule - Primarstufe -,0221356506233,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
111879,02,Peter-Lustig-Schule,Städt. Gem. Grundschule,,"Köln, GG Peter-Lustig-Schule",3,50827,Köln,Wilhelm-Schreiber-Str. 56,0221,22252550,0221,222525521,111879@schule.nrw.de,http://peter-lustig-schule.de,1,10182,05315000,1,01.08.1973,EPSG:25832,352578,5648703,,50.971037,6.900272,Grundschule,Öffentlich,Köln,Peter-Lustig-Schule Städt. Gem. Grundschule,022122252550,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
111880,02,Städt. Kath. Grundschule,Zugweg,,"Köln, KG Zugweg",3,50677,Köln,Zugweg 42-44,0221,35501340,0221,355013430,111880@schule.nrw.de,http://www.kgszugweg.de,1,10182,05315000,1,01.08.1973,EPSG:25832,356419,5642717,,50.918212,6.957301,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Zugweg,022135501340,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0
111909,02,Städt. Gem. Grundschule,Balthasarstr.,,"Köln, GG Balthasarstr.",3,50670,Köln,Balthasarstr. 87,0221,35589740,0221,355897418,111909@schule.nrw.de,http://www.ggsbalthasar.de,1,10182,05315000,1,01.08.1973,EPSG:25832,356732,5646575,,50.952962,6.960234,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Balthasarstr.,022135589740,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0
111910,02,Städt. Gem. Grundschule,Ernstbergstr.,,"Köln, GG Ernstbergstr.",3,50765,Köln,Ernstbergstr. 2,0221,2228800,0221,22288024,111910@schule.nrw.de,http://www.ggs-ernstbergstrasse.de,1,10182,05315000,1,01.08.1973,EPSG:25832,351590,5656412,,51.040059,6.883058,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Ernstbergstr.,02212228800,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
111922,02,Städt. Gem. Grundschule,Bachemer Str.,,"Köln, GG Bachemer Str.",3,50931,Köln,Bachemer Str. 69,0221,22251910,0221,222519191,111922@schule.nrw.de,https://www.ggsbachemer.de,1,10182,05315000,1,01.08.1973,EPSG:25832,353740,5643983,,50.928917,6.918706,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Bachemer Str.,022122251910,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
111934,02,Städt. Kath. Grundschule,Berrenrather Str.,,"Köln, KG Berrenrather Straße",3,50937,Köln,Berrenrather Str. 179,0221,99225940,0221,992259420,111934@schule.nrw.de,http://www.kgsberrenratherstrasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,354315,5642954,,50.919815,6.927294,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Berrenrather Str.,022199225940,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
111946,02,Sankt-Nikolaus-Schule,Städt. Gemeinschaftsgrundschule,- Primarstufe -,"Köln, GG Sankt-Nikolaus-Schule",3,50969,Köln,Bernkasteler Str. 9,0221,35501560,0221,355015610,111946@schule.nrw.de,http://www.sanktnikolausschule-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,355090,5641611,,50.907941,6.938846,Grundschule,Öffentlich,Köln,Sankt-Nikolaus-Schule Städt. Gemeinschaftsgrundschule - Primarstufe -,022135501560,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
111958,02,Nikolaus-Groß-Schule,Kath. Grundschule,- Primarstufe -,"Köln, KG Nikolaus-Groß-Schule",3,50670,Köln,Bernhard-Letterhaus-Str. 17,0221,35589750,0221,355897528,111958@schule.nrw.de,http://www.nikolaus-gross-schule.koeln,1,10182,05315000,1,01.08.1973,EPSG:25832,356169,5646835,,50.955158,6.952121,Grundschule,Öffentlich,Köln,Nikolaus-Groß-Schule Kath. Grundschule - Primarstufe -,022135589750,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
111971,02,St. Martin-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Köln, KG St. Martin-Schule",3,50769,Köln,Balsaminenweg 52,0221,71663410,0221,716634122,111971@schule.nrw.de,http://www.st-martin-schule-koeln.de,1,10182,05315000,1,01.08.1973,EPSG:25832,353720,5653862,,51.01769,6.914448,Grundschule,Öffentlich,Köln,St. Martin-Schule Städt. Kath. Grundschule - Primarstufe -,022171663410,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
111983,02,Berthold-Otto-Schule,Städt. Gemeinschaftsgrundschule,Primarstufe,"Köln, GG Berthold-Otto-Schule",3,51067,Köln,Buschfeldstr. 46,0221,93889970,0221,938899720,111983@schule.nrw.de,http://www.buschfeld-koeln.de,1,10182,05315000,1,01.08.1973,EPSG:25832,362387,5648409,,50.970822,7.040002,Grundschule,Öffentlich,Köln,Berthold-Otto-Schule Städt. Gemeinschaftsgrundschule Primarstufe,022193889970,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,8.0
111995,02,Astrid-Lindgren-Schule,Städt. Gem. Grundschule,,"Köln, GG Astrid-Lindgren",3,50825,Köln,Borsigstr. 13,0221,25081640,0221,250816428,111995@schule.nrw.de,http://www.astrid-lindgren-schule-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,352988,5647133,,50.957033,6.906742,Grundschule,Öffentlich,Köln,Astrid-Lindgren-Schule Städt. Gem. Grundschule,022125081640,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
112008,02,Städt. Gem. Grundschule,Steinbergerstr.,,"Köln, GG Steinbergerstr.",3,50733,Köln,Steinbergerstr. 40,0221,33751640,0221,337516420,112008@schule.nrw.de,https://www.ggsssteinbergerstrasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,356086,5647557,,50.961626,6.950655,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Steinbergerstr.,022133751640,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
112010,02,Städt. Gem. Grundschule,Freiligrathstr.,,"Köln, GG Freiligrathstr.",3,50935,Köln,Freiligrathstr. 60,0221,337300823,0221,337300825,112010@schule.nrw.de,https://www.ggs-freiligrathstr.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,352580,5643309,,50.922564,6.902484,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Freiligrathstr.,0221337300823,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0
112021,02,Städt. Gem. Grundschule,Erlenweg,,"Köln, GG Erlenweg",3,50827,Köln,Erlenweg 16,0221,35533950,0221,355339540,112021@schule.nrw.de,http://www.ggs-erlenweg.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,352106,5648016,,50.964743,6.893833,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Erlenweg,022135533950,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
112033,02,Städt. Gem. Grundschule,Diesterwegstr.,,"Köln, GG Diesterwegstr.",3,51109,Köln,Diesterwegstr. 69,0221,35650670,0221,356506755,112033@schule.nrw.de,http://ggs-brueck.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,364866,5645759,,50.947592,7.076272,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Diesterwegstr.,022135650670,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
112045,02,Maria-Sybilla-Merian-Schule,Städt. Gem. Grundschule,,"Köln, GG Maria-Sybilla-Merian-Schule",3,50968,Köln,Cäsarstr. 21,0221,222101422,0221,222101429,112045@schule.nrw.de,http://www.ggs-caesarstrasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,357046,5641497,,50.907404,6.966693,Grundschule,Öffentlich,Köln,Maria-Sybilla-Merian-Schule Städt. Gem. Grundschule,0221222101422,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
112057,02,Städt. Kath. Grundschule,Baadenberger Str.,,"Köln, KG Baadenberger Str.",3,50825,Köln,Baadenberger Str. 111,0221,9556970,0221,95569740,112057@schule.nrw.de,http://kgs-baadenbergerstrasse.de,1,10182,05315000,1,01.08.1973,EPSG:25832,353849,5647926,,50.964379,6.918674,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Baadenberger Str.,02219556970,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
112082,02,Städt. Kath. Grundschule,Andreas-Hermes-Str.,,"Köln, KG Andreas-Hermes-Str.",3,51109,Köln,Andreas-Hermes-Str. 2-4,0221,35650640,0221,356506455,112082@schule.nrw.de,http://www.kgs-andreas-hermes-strasse.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,363810,5644693,,50.937763,7.061647,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Andreas-Hermes-Str.,022135650640,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
112094,02,Städt. Kath. Grundschule,An den Kaulen,,"Köln, KG An den Kaulen",3,50769,Köln,An den Kaulen 62-64,0221,35582140,0221,35582143,112094@schule.nrw.de,http://www.kgsworringen.de,1,10182,05315000,1,01.08.1973,EPSG:25832,349902,5659586,,51.068143,6.857682,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule An den Kaulen,022135582140,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
112100,02,Städt. Gem. Grundschule,Annastraße,,"Köln, GG Annastraße",3,50968,Köln,Annastr. 63,0221,28556980,0221,285569840,112100@schule.nrw.de,http://www.ggs-annastrasse-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,356525,5641203,,50.904632,6.959403,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Annastraße,022128556980,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
112112,02,Städt. Gem. Grundschule,Antwerpener Str.,,"Köln, GG Antwerpener Str.",3,50672,Köln,Kreutzerstr. 16,0221,35584910,,,112112@schule.nrw.de,http://www.grundschule-antwerpener.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,354452,5645589,,50.943529,6.92819,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Antwerpener Str.,022135584910,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
112124,02,Städt. Gem. Grundschule,An St. Theresia,,"Köln, GG An St. Theresia",3,51067,Köln,An St. Theresia 1,0221,222100210,0221,222100211,112124@schule.nrw.de,http://www.ggstheresia-koeln.de,1,10182,05315000,1,01.08.1973,EPSG:25832,361238,5647677,,50.963968,7.023926,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule An St. Theresia,0221222100210,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0
112136,02,Städt. Kath. Grundschule,Am Portzenacker,- Primarstufe -,"Köln, KG Am Portzenacker",3,51069,Köln,Am Portzenacker 1b,0221,82337510,0221,823375113,112136@schule.nrw.de,http://www.kgs-am-portzenacker-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,361701,5651801,,51.001142,7.028946,Grundschule,Öffentlich,Köln,Städt. Kath. Grundschule Am Portzenacker - Primarstufe -,022182337510,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
112148,02,Janusz-Korczak-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Köln, KG Janusz-Korczak",3,51105,Köln,Am Altenberger Kreuz 14,0221,93830040,0221,88827419,112148@schule.nrw.de,http://www.kgs-janusz-korczak.de,1,10182,05315000,1,01.08.1973,EPSG:25832,358682,5642735,,50.918933,6.989468,Grundschule,Öffentlich,Köln,Janusz-Korczak-Schule Städt. Kath. Grundschule - Primarstufe -,022193830040,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
112150,02,Lukas-Schule,Städt. Kath. Grundschule,- Primarstufe -,"Köln, KG Lukas-Schule",3,50739,Köln,Alzeyer Str. 12,0221,28500680,0221,285006815,112150@schule.nrw.de,http://www.kgs-lukasschule.de,1,10182,05315000,1,01.08.1973,EPSG:25832,354541,5648612,,50.970719,6.928247,Grundschule,Öffentlich,Köln,Lukas-Schule Städt. Kath. Grundschule - Primarstufe -,022128500680,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
112173,02,Sankt-Mauritius-Schule,Städt. Kath. Grundschule,,"Köln, KG Sankt-Mauritius",3,51065,Köln,Alte Wipperfürther Str. 49-51,0221,35580050,0221,355800529,112173@schule.nrw.de,http://st-mauritiusschule.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,360680,5646826,,50.956185,7.016311,Grundschule,Öffentlich,Köln,Sankt-Mauritius-Schule Städt. Kath. Grundschule,022135580050,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
112197,02,Städt. Gem. Grundschule,Kopernikusstr.,,"Köln, GG Kopernikusstr.",3,51065,Köln,Kopernikusstr. 40-42,0221,35570060,0221,355700625,112197@schule.nrw.de,http://ggskopernikus-koeln.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,360173,5646120,,50.949717,7.009368,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Kopernikusstr.,022135570060,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
112203,02,Grüneberg-Schule,der Stadt Köln,Gemeinschaftsgrundschule-Primarstufe,"Köln, GG Grüneberg-Schule",3,51103,Köln,Kapitelstr. 24-26,0221,99222020,0221,992220248,112203@schule.nrw.de,https://www.grueneberg-schule.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,359797,5645077,,50.940253,7.00442,Grundschule,Öffentlich,Köln,Grüneberg-Schule der Stadt Köln Gemeinschaftsgrundschule-Primarstufe,022199222020,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0
112239,02,Städt. Gem. Grundschule,Alzeyer Str.,,"Köln, GG Alzeyer Str.",3,50739,Köln,Alzeyer Str. 12,0221,285006920,0221,285006925,112239@schule.nrw.de,http://www.ggs-alzeyer.de/,1,10182,05315000,1,01.08.1973,EPSG:25832,354541,5648612,,50.970719,6.928247,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Alzeyer Str.,0221285006920,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0
112240,02,Städt. Gem. Grundschule,Alte Wipperführter Str.,,"Köln, GG Alte WipperfürtherStr.",3,51065,Köln,Alte Wipperfürther Str. 49,0221,35661160,0221,356611619,112240@schule.nrw.de,http://www.ggs-ahlwipp.de,1,10182,05315000,1,01.08.1973,EPSG:25832,360680,5646826,,50.956185,7.016311,Grundschule,Öffentlich,Köln,Städt. Gem. Grundschule Alte Wipperführter Str.,022135661160,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0
