schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_data_source
,Erich Kästner Schule,Grundschule,grundschulen,Grundschule,1-4,Praunheimer Weg 44,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1615,8.62122,+49 69 212 34515,+49 69 212 32744,poststelle.erich-kaestner-schule@stadt-frankfurt.de,http://www.eks-ffm.de,Stadt Frankfurt am Main,,,Benedikt Gehrling,Sonja Roth,442.0,18.0,siehe Erläuterung der Unterrichtszeit,,Schwerpunkt Sport,,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Arabisch, Kroatisch, Türkisch",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Arabisch, Kroatisch, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,"Zertifikat Sucht- und Gewaltprävention, Gesundheitsprogramm Klasse2000 – Klaro-Siegel","""Förderkreis der Erich Kästner Schule e.V.""","Öffnungszeiten: In jeder 2. großen Pause. Konzept: Schülerbücherei, Klassenbücherei, Vorlesetage.","Erich Kästner (23.02.1899 - 29.07.1974), Autor vieler Kinderbücher.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/erich-kaestner-schule,erich-kaestner-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Wiesenau,854.0,50.1668742,8.6297836,,Niederursel,863.0,50.1692038,8.6227387,,Nordwestzentrum,990.0,50.1581352,8.634094,,Ginnheim Mitte,2981.0,50.1402029,8.6466334,,Markus-Krankenhaus,3271.0,50.1366388,8.6457564,,Frauenfriedenskirche,4054.0,50.1288186,8.646436,,Praunheimer Weg Mitte,37.0,50.1615175,8.6206996,,Gerhart-Hauptmann-Ring/Praunheimer Weg,162.0,50.160547,8.6195053,,Eduard-Bernstein-Weg,256.0,50.1638025,8.62142,,14,35,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Europäische Schule Frankfurt (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",,Praunheimer Weg 126,60439,Frankfurt am Main,Frankfurt am Main,Hessen,Niederursel,50.1587669,8.6226216,+49 69 9288740,+49 69 92887474,contact@eursc.org,http://www.eursc.org,Sonstige Träger,europäische Mitgliedsstaaten,,Anastazija Avsec,,1600.0,,"Siehe ""Erläuterung zu der Unterrichtszeit""",,,,,Deutsch,"Englisch, Französisch, Deutsch","Englisch, Französisch, Deutsch, Sprachangebot",,,"Englisch, Französisch, Deutsch, Englisch, Französisch, Deutsch, Sprachangebot",,,"Ganztagsangebote, Mittagessen",,,"""Elternverein der Europäischen Schule Frankfurt am Main"", www.esfparents.org",,Europäische Mitgliedsstaaten,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/europaeische-schule-frankfurt,europaeische-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Nordwestzentrum,820.0,50.1581352,8.634094,,Heddernheimer Landstraße,1032.0,50.1637967,8.6348005,,Wiesenau,1036.0,50.1668742,8.6297836,,Ginnheim Mitte,2681.0,50.1402029,8.6466334,,Markus-Krankenhaus,2962.0,50.1366388,8.6457564,,Frauenfriedenskirche,3738.0,50.1288186,8.646436,,Praunheimer Weg/Schulzentrum,130.0,50.1576483,8.622094,,Gerhart-Hauptmann-Ring/Praunheimer Weg,293.0,50.1604827,8.6194939,,Praunheimer Weg Mitte,335.0,50.1615175,8.6206996,,8,52,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Fintosch Mehrsprachige Grundschule,Grundschule,grundschulen,Grundschule,1-4,Schumannstraße 4-6,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1133881,8.6550581,,+49 69 77076912,info@fintosch.com,http://www.fintosch.com/,Private Träger,Fintosch Mehrsprachige Grundschule gGmbH,Staatlich genehmigte Ersatzschule mit angeschlossener Kindertageseinrichtung,Frank van Poucke,,,,07:45 bis 15:00 Uhr,,"Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkt Sprachen",,,Bilingual Deutsch/Englisch,"Französisch, Englisch, Bilingual, Englisch",,,,"Französisch, Englisch, Bilingual, Englisch",Ganztagsangebote,,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/fintosch-mehrsprachige-grundschule,fintosch-mehrsprachige-grundschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Schumannstraße,63.0,50.1128221,8.6550082,,Friedrich-Ebert-Anlage,135.0,50.112173,8.6549356,,Festhalle/Messe,157.0,50.1119878,8.6553329,,Festhalle/Messe,131.0,50.112356,8.6541768,,Hohenstaufenstraße,325.0,50.1109059,8.6574625,,Ludwig-Erhard-Anlage,337.0,50.1139554,8.6504116,,Festhalle/Messe,58.0,50.1129936,8.6545335,,Bettinaplatz,137.0,50.1140005,8.6567262,,Platz der Einheit,312.0,50.1108613,8.653165,,41,168,"64, M36, N7",60.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Franckeschule,Grundschule,grundschulen,Grundschule,1-4,Falkstraße 71,60487,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1248,8.64502,+49 69 212 35282,+49 69 212 34480,poststelle.franckeschule@stadt-frankfurt.de,http://francke.frankfurt.schule.hessen.de/,Stadt Frankfurt am Main,,,Sabine Ibold,,420.0,17.0,07:55 bis 13:15 Uhr,,"Schwerpunkt Musik, Schwerpunkt Musik",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,Umweltschule,"""VESuF, Verein der Eltern, Schüler und Freunde""",Von der Stadtbücherei aufgebaut und organisiert. Öffnungszeiten: Jeden Vormittag von 09:30 - 09:45 Uhr sowie freitags von 11:30 - 13:00 Uhr.,August Hermann Francke (1663-1727) Pädagoge und Theologe,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/franckeschule,franckeschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Kurfürstenstraße,213.0,50.1228816,8.6449723,,"U-Bahn (50.1227,8.6456)",238.0,50.1226832,8.6455548,,Leipziger Straße,245.0,50.1226251,8.6455438,,Juliusstraße,155.0,50.1254101,8.6469765,,Frauenfriedenskirche,440.0,50.128635,8.646522,,Bockenheimer Warte,597.0,50.1208648,8.650709,,Juliusstraße,107.0,50.1253007,8.6462969,,Sophienstraße,423.0,50.1276542,8.6410898,,Frauenfriedenskirche,439.0,50.1286346,8.6464857,,24,111,"32, 36, 73",60.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Frankfurt International School (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,An der Waldlust 15,61440,Oberursel,Frankfurt am Main,Hessen,,,,+49 6171 2024480,+49 6171 2024384,tina_awtani@fis.edu,http://www.fis.edu,Private Träger,Frankfurt International School e.V.,Ergänzungsschule,Dr. Paul M. Fochtman,,1780.0,100.0,,,"Schwerpunkt Mathematik, Schwerpunkt Musik, Schwerpunkt Kunst, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport, Schwerpunkt Sprachen",,,Englisch,,Deutsch,"Französisch, Spanisch, Herkunftssprachlicher Unterricht, Kroatisch, Japanisch, Schwedisch, Niederländisch, Bilingual, Englisch",,"Deutsch, Französisch, Spanisch, Herkunftssprachlicher Unterricht, Kroatisch, Japanisch, Schwedisch, Niederländisch, Bilingual, Englisch",Ganztagsangebote,,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztägig arbeitende Schule, Ganztagsangebote, Kooperationspartner, Mittagessen, Pausenverkauf",,,"""Parent Teacher Group""",Schülerzeitung,"Die Frankfurt International School ist ein Verein, der 1961 von 4 Elternpaaren in Frankfurt gegründet wurde und nach dem Erwerb eines großen Grundstückes in Oberursel seine Heimat fand",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/frankfurt-international-school,frankfurt-international-school,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Französische internationale Schule Lycee Victor Hugo (Grundschule),Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Gontardstraße 11,60488,Frankfurt am Main,Frankfurt am Main,Hessen,Praunheim,50.1349768,8.6077897,+49 69 747498113,+49 69 747498142,secretariat@lfvh.net,https://www.lfvh.net/,Private Träger,Agence pour l'enseignement Francais à l'étranger (AEFE),Staatlich anerkannte Ersatzschule,Sylvain Pardo,Nathalie Daniel-Risacher,940.0,45.0,,,Schwerpunkt Sprachen,,,Deutsch,"Deutsch, Französisch","Deutsch, Englisch","Spanisch, Chinesisch","Spanisch, Chinesisch, weitere Sprachen, Weitere Sprachangebote, Latein, Chinesisch, Bilingual, Französisch, Deutsch, Überblick Sprachangebot","Deutsch, Französisch, Deutsch, Englisch, Spanisch, Chinesisch, Spanisch, Chinesisch, weitere Sprachen, Weitere Sprachangebote, Latein, Chinesisch, Bilingual, Französisch, Deutsch, Überblick Sprachangebot",,,"Besondere Leseförderung, Ganztägig arbeitende Schule, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen",,,"""Union des Parents et Amis du Lycée français Victor Hugo"", www.upea.de",Schullandheim,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/franzoesische-schule-lycee-victor-hugo,franzoesische-schule-lycee-victor-hugo,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Stephan-Heise-Straße,534.0,50.136283,8.6149963,,Friedhof Westhausen,553.0,50.1388388,8.6126856,,Heerstraße,944.0,50.1434561,8.6083618,,Rebstockbad,2500.0,50.1137127,8.6191804,,An der Dammheide,2574.0,50.11727,8.6310384,,Markus-Krankenhaus,2712.0,50.1366388,8.6457564,,Stephan-Heise-Straße,507.0,50.1366836,8.6143817,,Friedhof Westhausen,523.0,50.138329,8.6129316,,Guerickestraße,622.0,50.1346177,8.5990829,,0,44,,20.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Frauenhofschule,Grundschule,grundschulen,Grundschule,1-4,Niederräder Landstraße 60-62,60528,Frankfurt am Main,Frankfurt am Main,Hessen,Niederrad,50.0889,8.65106,+49 69 212 33059,+49 69 212 32711,poststelle.frauenhofschule@stadt-frankfurt.de,http://www.frauenhofschule.de/,Stadt Frankfurt am Main,,,Gabriele Bittner-Brancaglio,,389.0,17.0,07:50 bis 13:05 Uhr,,Schwerpunkt Musik,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Portugiesisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Portugiesisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Ganztagsangebote, Jugendhilfeangebot",,Musikalische Grundschule,,Von der Stadtbücherei aufgebaut und organisiert. Konzept: Verleih und Klassenlektüre,Benannt nach dem 200 Jahre alten Wahrzeichen Niederrads,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/frauenhofschule,frauenhofschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt-Niederrad,1337.0,50.0807744,8.6372448,,Frankfurt-Louisa,1490.0,50.0838234,8.6703942,,Stresemannallee,1539.0,50.0942383,8.6709594,,Niederräder Landstraße,48.0,50.0886501,8.6516075,,Triftstraße,205.0,50.0870891,8.6504878,,Frauenhofstraße,231.0,50.0871813,8.6492415,,Niederräder Landstraße,50.0,50.088492,8.6507759,,Triftstraße,186.0,50.087272,8.6504503,,Frauenhofstraße,220.0,50.0874156,8.649023,,41,97,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Freie Christliche Schule (Grundschule),Grundschule,grundschulen,"Grundschule, Realschule, Gymnasium",1-4,Orber Straße 4,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Fechenheim,50.131983,8.7568325,+49 69 4200030,+49 69 42000311,Sekretariat@fcsf.de,http://www.fcsf.de,Private Träger,Freie Christliche Schule Frankfurt e.V.,Staatlich anerkannte Ersatzschule,Mirjam Hamann,Raphael Zuccarelli,,,08:10 bis 13:15 Uhr,,Schwerpunkt Naturwissenschaften,,,Deutsch,,Englisch,"Französisch, Latein, Weitere Sprachangebote, Spanisch",,"Englisch, Französisch, Latein, Weitere Sprachangebote, Spanisch",,,"Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch",,,"""Förderverein der Freien Christlichen Schule Frankfurt am Main""",Selbstlernzentrum mit integrierter Schülerbibliothek,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freie-christliche-schule,freie-christliche-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt-Mainkur,800.0,50.1345505,8.767312,,Hessen-Center,1097.0,50.140506,8.7490937,,Kruppstraße,1102.0,50.1379284,8.7444682,,Cassellastraße,321.0,50.1294995,8.7591318,,Hugo-Junkers-Straße,558.0,50.1275412,8.7531906,,Hugo-Junkers-Straße/Schleife,676.0,50.1261516,8.7541414,,Steinauer Straße,123.0,50.1329414,8.7577001,,Langenselbolder Straße,247.0,50.13265,8.7535288,,Fuldaer Straße,320.0,50.1331717,8.7609269,,20,77,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Freie Schule Frankfurt,Grundschule,grundschulen,"Grundschule, Förderstufe",1-6,,0None,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0972,8.66766,,,,,Private Träger,Verein für angewandte Sozialpädagogik e.V.,Staatlich genehmigte Ersatzschule,Teamleitung,,,,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Neue Technologien, Schwerpunkt Sprachen, Schwerpunkt Sport",,,Deutsch,Englisch,"Englisch, Weitere Sprachangebote",,,"Englisch, Englisch, Weitere Sprachangebote",,,"AGs am Nachmittag, Ganztägig arbeitende Schule",,,,Schülerzeitung,"Freie Schule Frankfurt: frei von den Zwängen der Regelschule - selbstbestimmtes Lernen und Arbeiten der Schülerinnen, Schüler und Pädagogen, freier Träger",,,Sachsenhausen: Grundschule mit Förderstufe und angeschlossener Kindertagesstätte ab 3 Jahren,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freie-schule-frankfurt,freie-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Stresemannallee,405.0,50.0942383,8.6709594,,Schweizer Platz,1057.0,50.1024094,8.6800572,,Gartenstraße Museumsufer,1078.0,50.1031575,8.6795856,,Vogelweidstraße,182.0,50.0976056,8.6651832,,Friedensbrücke,214.0,50.098823,8.6692789,,Stresemannallee Bahnhof,380.0,50.0946507,8.6712181,,Vogelweidstraße,148.0,50.0978426,8.6658425,,Friedensbrücke,178.0,50.0980491,8.6697783,,Haus 8,244.0,50.0966515,8.664346,,40,155,N16,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Freie Waldorfschule,Grundschule,grundschulen,"Grundschule, Gymnasium",1-4,Friedlebenstraße 52,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.1471144,8.6752359,+49 69 953060,,mail@waldorfschule-frankfurt.de,http://www.waldorfschule-frankfurt.de,Private Träger,Freier Träger,Staatlich genehmigte Ersatzschule (Grundstufe),Caroline Meyer auf der Heyde,,825.0,2.0,,,,,,Deutsch,"Englisch, Französisch","Englisch, Französisch",,,"Englisch, Französisch, Englisch, Französisch",,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Gewaltprävention, Mittagessen",,,"""Förderverein der Freien Waldorfschule Frankfurt e.V."", mail@waldorfschule-frankfurt.de",Öffnungszeiten: Montag - Freitag 08:00 - 20:00 Uhr,"Der Name Waldorfschule hat seinen Ursprung von „Waldorf-Astoria"". Emil Molt, Inhaber der Waldorf-Astoria-Zigarettenfabik, hatte 1919 die Idee, eine Schule für die Kinder „seiner"" Arbeiter einzurichten. Er beauftragte Rudolf Steiner mit der Gründung dieser Schule. Im Zentrum der Bemühungen Steiners stand eine ganzheitliche Pädagogik, eine Pädagogik, durch die Leib, Seele und Geist gleichermaßen gefördert werden sollten.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freie-waldorfschule,freie-waldorfschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Hügelstraße,600.0,50.1479201,8.6669081,,Fritz-Tarnow-Straße,670.0,50.1427704,8.6687232,,Marbachweg/Sozialzentrum,857.0,50.1421988,8.6844969,,Schwabstraße,574.0,50.1446265,8.682291,,Alkmenestraße,1821.0,50.1516538,8.6997969,,Friedberger Warte,1847.0,50.1398083,8.6985174,,Reinhardstraße,279.0,50.1493122,8.6733344,,Karl-von-Drais-Straße,335.0,50.1498156,8.6773086,,Engelthaler Straße,501.0,50.1493784,8.6813163,,10,68,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Freiligrathschule,Grundschule,grundschulen,Grundschule,1-4,Fachfeldstraße 32,60386,Frankfurt am Main,Frankfurt am Main,Hessen,Fechenheim,50.1202,8.76825,+49 69 212 48888,+49 69 212 49111,poststelle.freiligrathschule@stadt-frankfurt.de,http://www.freiligrathschule-fechenheim.de,Stadt Frankfurt am Main,,,Heike Schley,Dela Krsic,485.0,20.0,siehe Erläuterung der Unterrichtszeit,,"Integrativer Unterricht, Gewaltprävention (Mediation / Konfliktschlichtung)",Schwerpunkte,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Italienisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Italienisch, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,"""Förderverein Freiligrathschule e.V""",Schülerzeitung,"Ferdinand Freiligrath, (1810-1876), Dichter",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/freiligrathschule,freiligrathschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Marktplatz,1588.0,50.1065544,8.7616672,,Frankfurt-Mainkur,1597.0,50.1345505,8.767312,,Ledermuseum,1946.0,50.1061869,8.7519027,,Schießhüttenstraße,393.0,50.1221225,8.7728677,,Arthur-von-Weinberg-Steg,550.0,50.1250326,8.7698618,,Alt-Fechenheim,910.0,50.1283828,8.7678036,,Pfortenstraße,195.0,50.1217722,8.7694764,,Schießhüttenstraße,229.0,50.1209456,8.7712511,,Mittelseestraße,234.0,50.1221189,8.7668935,,30,75,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Fridtjof-Nansen-Schule,Grundschule,grundschulen,Grundschule,1-4,Dürkheimer Straße 47,65934,Frankfurt am Main,Frankfurt am Main,Hessen,Nied,50.0983,8.57706,+49 69 212 45504,+49 69 212 42905,poststelle.fridtjof-nansen-schule@stadt-frankfurt.de,http://www.fridtjofnansenschule.de,Stadt Frankfurt am Main,,,Amelie Braun,Kai Löhner,250.0,12.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Neue Technologien, Schwerpunkte",,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,"Umweltschule, Internet-ABC-Schule, Gesundheitsfördernde Schule, ""Klasse 2000"", Klimaschutzzertifikat ""Nutzerbedingtes Energie- und Wassersparen""","""Förderverein der Fridtjof-Nansen-Schule e.V."", Ansprechpartner: Mirnes Omerović, E-Mail: foerderverein-fns@web.de",Sozial-Pädagogische Lernhilfe (Sternpiloten),"Fridtjof Nansen (1861- 1930,) norwegischer Zoologe, Polarforscher, Philantrop und internationaler Staatsmann. Aufgrund seiner Verdienste um die internationale Flüchtlingshilfe erhielt er 1922 den Friedensnobelpreis.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/fridtjof-nansen-schule,fridtjof-nansen-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Nied,602.0,50.1023216,8.5714188,,Griesheim,2088.0,50.094362,8.6056814,,Sossenheim,2494.0,50.1149359,8.5536044,,Birminghamstraße,205.0,50.0999925,8.5781938,,Luthmerstraße,278.0,50.0993131,8.5735035,,Nied Kirche,678.0,50.0984354,8.5675594,,Birminghamstraße,257.0,50.1001424,8.579224,,Luthmerstraße,300.0,50.0991645,8.573069,,Dürkheimer Straße,461.0,50.0963324,8.5713689,51;54;n7,14,59,"51, 54, 59, n7",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
